id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,73.66155242919922,1,1,,Total,1,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women,ARG,,2000,73.76464080810547,2,2,,Gender,4,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,73.57833099365234,3,3,,Gender,4,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,.1863062977790833,4,4,4.2191715,Women - men gap,5,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women in low-skilled household,ARG,,2000,69.32820892333984,6,6,,Qualification (women),11,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women in medium-skilled household,ARG,,2000,79.68964385986328,7,7,,Qualification (women),11,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women in high-skilled household,ARG,,2000,80.42223358154297,8,8,,Qualification (women),11,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men in low-skilled household,ARG,,2000,69.66024780273438,9,9,,Qualification (men),12,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men in medium-skilled household,ARG,,2000,76.13910675048828,10,10,,Qualification (men),12,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men in high-skilled household,ARG,,2000,88.49668884277344,11,11,,Qualification (men),12,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Woman,ARG,,2000,73.76464080810547,22,22,,Woman,2,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Man,ARG,,2000,73.57833099365234,23,23,,Man,3,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women/men ratio,ARG,,2000,1.002532124519348,26,26,,Women/men ratio,6,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,75.54509735107422,1,1,,Total,1,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women,ARG,,2001,75.16497039794922,2,2,,Gender,4,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men,ARG,,2001,75.90318298339844,3,3,,Gender,4,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women - men gap,ARG,,2001,-.7382111549377441,4,4,4.1943402,Women - men gap,5,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women in low-skilled household,ARG,,2001,70.96823883056641,6,6,,Qualification (women),11,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women in medium-skilled household,ARG,,2001,80.87751007080078,7,7,,Qualification (women),11,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women in high-skilled household,ARG,,2001,82.79062652587891,8,8,,Qualification (women),11,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men in low-skilled household,ARG,,2001,72.83091735839844,9,9,,Qualification (men),12,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men in medium-skilled household,ARG,,2001,83.34822082519531,10,10,,Qualification (men),12,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men in high-skilled household,ARG,,2001,76.00572204589844,11,11,,Qualification (men),12,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Woman,ARG,,2001,75.16497039794922,22,22,,Woman,2,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Man,ARG,,2001,75.90318298339844,23,23,,Man,3,Argentina,Argentina,Percentage of five-year-old children enrolled in an educational institution.,Pre-primary enrollment rate (5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
