id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,42.99265670776367,1,1,,Total,1,Argentina,Argentina,Percentage of children 3-5 years old enrolled in an educational institution.,Pre-primary enrollment rate (3-5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women,ARG,,2000,42.57818603515625,2,2,,Gender,4,Argentina,Argentina,Percentage of children 3-5 years old enrolled in an educational institution.,Pre-primary enrollment rate (3-5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,43.36288833618164,3,3,,Gender,4,Argentina,Argentina,Percentage of children 3-5 years old enrolled in an educational institution.,Pre-primary enrollment rate (3-5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,-.784704864025116,4,4,2.7559633,Women - men gap,5,Argentina,Argentina,Percentage of children 3-5 years old enrolled in an educational institution.,Pre-primary enrollment rate (3-5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women in low-skilled household,ARG,,2000,37.72188568115234,6,6,,Qualification (women),11,Argentina,Argentina,Percentage of children 3-5 years old enrolled in an educational institution.,Pre-primary enrollment rate (3-5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women in medium-skilled household,ARG,,2000,44.74289703369141,7,7,,Qualification (women),11,Argentina,Argentina,Percentage of children 3-5 years old enrolled in an educational institution.,Pre-primary enrollment rate (3-5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women in high-skilled household,ARG,,2000,55.53204727172852,8,8,,Qualification (women),11,Argentina,Argentina,Percentage of children 3-5 years old enrolled in an educational institution.,Pre-primary enrollment rate (3-5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men in low-skilled household,ARG,,2000,39.91951751708984,9,9,,Qualification (men),12,Argentina,Argentina,Percentage of children 3-5 years old enrolled in an educational institution.,Pre-primary enrollment rate (3-5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men in medium-skilled household,ARG,,2000,45.23300170898438,10,10,,Qualification (men),12,Argentina,Argentina,Percentage of children 3-5 years old enrolled in an educational institution.,Pre-primary enrollment rate (3-5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men in high-skilled household,ARG,,2000,53.66591262817383,11,11,,Qualification (men),12,Argentina,Argentina,Percentage of children 3-5 years old enrolled in an educational institution.,Pre-primary enrollment rate (3-5 years old),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
