id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2019,Total,ARG,ERCE,2019,.7381817102432251,1,1,Total,1,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I wait for my turn to speak in class.',Sixth grades students responding yes to 'I wait my turn to speak in class.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Women,ARG,ERCE,2019,.7814345955848694,2,2,Gender,4,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I wait for my turn to speak in class.',Sixth grades students responding yes to 'I wait my turn to speak in class.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Men,ARG,ERCE,2019,.7115297913551331,3,3,Gender,4,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I wait for my turn to speak in class.',Sixth grades students responding yes to 'I wait my turn to speak in class.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Woman,ARG,ERCE,2019,.7814345955848694,4,4,Woman,2,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I wait for my turn to speak in class.',Sixth grades students responding yes to 'I wait my turn to speak in class.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Man,ARG,ERCE,2019,.7115297913551331,5,5,Man,3,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I wait for my turn to speak in class.',Sixth grades students responding yes to 'I wait my turn to speak in class.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Total,BRA,ERCE,2019,.5758176445960999,1,1,Total,1,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I wait for my turn to speak in class.',Sixth grades students responding yes to 'I wait my turn to speak in class.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Women,BRA,ERCE,2019,.6230053901672363,2,2,Gender,4,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I wait for my turn to speak in class.',Sixth grades students responding yes to 'I wait my turn to speak in class.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Men,BRA,ERCE,2019,.5326674580574036,3,3,Gender,4,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I wait for my turn to speak in class.',Sixth grades students responding yes to 'I wait my turn to speak in class.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Woman,BRA,ERCE,2019,.6230053901672363,4,4,Woman,2,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I wait for my turn to speak in class.',Sixth grades students responding yes to 'I wait my turn to speak in class.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Man,BRA,ERCE,2019,.5326674580574036,5,5,Man,3,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I wait for my turn to speak in class.',Sixth grades students responding yes to 'I wait my turn to speak in class.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
