id_paisano,desagregacion,pais_cod,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio,ARG,2013,3.957845449447632,26,26,Women/men ratio,6,Argentina,Argentina,Weekly hours allocated to children and other household members’ care. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio,ARG,2021,,26,26,Women/men ratio,6,Argentina,Argentina,Weekly hours allocated to children and other household members’ care. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,2015,2.543105840682983,26,26,Women/men ratio,6,Chile,Chile,Weekly hours allocated to children and other household members’ care. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio,COL,2012,7.114863872528076,26,26,Women/men ratio,6,Colombia,Colombia,Weekly hours allocated to children and other household members’ care. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio,COL,2016,6.296262264251709,26,26,Women/men ratio,6,Colombia,Colombia,Weekly hours allocated to children and other household members’ care. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2020,Women/men ratio,COL,2020,8.270847320556641,26,26,Women/men ratio,6,Colombia,Colombia,Weekly hours allocated to children and other household members’ care. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2004,Women/men ratio,CRI,2004,7.993188381195068,26,26,Women/men ratio,6,Costa Rica,Costa Rica,Weekly hours allocated to children and other household members’ care. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2017,Women/men ratio,CRI,2017,3.921505212783813,26,26,Women/men ratio,6,Costa Rica,Costa Rica,Weekly hours allocated to children and other household members’ care. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2016,Women/men ratio,DOM,2016,,26,26,Women/men ratio,6,Dominican republic,Dominican republic,Weekly hours allocated to children and other household members’ care. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2021,Women/men ratio,DOM,2021,,26,26,Women/men ratio,6,Dominican republic,Dominican republic,Weekly hours allocated to children and other household members’ care. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
