id_paisano,desagregacion,pais_cod,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio,ARG,2013,,26,26,Women/men ratio,6,Argentina,Argentina,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio,ARG,2021,2.903961181640625,26,26,Women/men ratio,6,Argentina,Argentina,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,2015,2.814895391464233,26,26,Women/men ratio,6,Chile,Chile,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2023,Women/men ratio,CHL,2023,7.290574550628662,26,26,Women/men ratio,6,Chile,Chile,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio,COL,2012,6.719558715820313,26,26,Women/men ratio,6,Colombia,Colombia,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio,COL,2016,5.662650585174561,26,26,Women/men ratio,6,Colombia,Colombia,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2020,Women/men ratio,COL,2020,8.142331123352051,26,26,Women/men ratio,6,Colombia,Colombia,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2004,Women/men ratio,CRI,2004,,26,26,Women/men ratio,6,Costa Rica,Costa Rica,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2017,Women/men ratio,CRI,2017,4.174944877624512,26,26,Women/men ratio,6,Costa Rica,Costa Rica,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2022,Women/men ratio,CRI,2022,5.193881988525391,26,26,Women/men ratio,6,Costa Rica,Costa Rica,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
