id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2006,"Total, mathematic",ARG,(S)ERCE,2006,46.6570930480957,1,1,"Total, mathematic",1,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Low-skilled household, mathematics",ARG,(S)ERCE,2006,50.99052047729492,2,2,"Qualification, mathematic",2,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Medium-skilled household, mathematics",ARG,(S)ERCE,2006,47.49829483032227,3,3,"Qualification, mathematic",2,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"High-skilled household, mathematics",ARG,(S)ERCE,2006,40.34402465820313,4,4,"Qualification, mathematic",2,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Total, language",ARG,(S)ERCE,2006,57.95417022705078,5,5,"Total, language",3,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Low-skilled household, language",ARG,(S)ERCE,2006,60.59927749633789,6,6,"Qualification, language",4,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Medium-skilled household, language",ARG,(S)ERCE,2006,56.90286254882813,7,7,"Qualification, language",4,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"High-skilled household, language",ARG,(S)ERCE,2006,56.87489318847656,8,8,"Qualification, language",4,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Total, mathematic",ARG,(T)ERCE,2013,45.70727920532227,1,1,"Total, mathematic",1,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Low-skilled household, mathematics",ARG,(T)ERCE,2013,53.71116256713867,2,2,"Qualification, mathematic",2,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Medium-skilled household, mathematics",ARG,(T)ERCE,2013,41.47807312011719,3,3,"Qualification, mathematic",2,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"High-skilled household, mathematics",ARG,(T)ERCE,2013,49.94852066040039,4,4,"Qualification, mathematic",2,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Total, language",ARG,(T)ERCE,2013,56.24685287475586,5,5,"Total, language",3,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Low-skilled household, language",ARG,(T)ERCE,2013,50.30934524536133,6,6,"Qualification, language",4,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Medium-skilled household, language",ARG,(T)ERCE,2013,61.26160430908203,7,7,"Qualification, language",4,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"High-skilled household, language",ARG,(T)ERCE,2013,52.10340881347656,8,8,"Qualification, language",4,Argentina,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2006,"Total, mathematic",BRA,(S)ERCE,2006,44.74814605712891,1,1,"Total, mathematic",1,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2006,"Low-skilled household, mathematics",BRA,(S)ERCE,2006,46.84244155883789,2,2,"Qualification, mathematic",2,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2006,"Medium-skilled household, mathematics",BRA,(S)ERCE,2006,40.44166946411133,3,3,"Qualification, mathematic",2,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2006,"High-skilled household, mathematics",BRA,(S)ERCE,2006,48.89278030395508,4,4,"Qualification, mathematic",2,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2006,"Total, language",BRA,(S)ERCE,2006,55.72076034545898,5,5,"Total, language",3,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2006,"Low-skilled household, language",BRA,(S)ERCE,2006,58.40140151977539,6,6,"Qualification, language",4,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2006,"Medium-skilled household, language",BRA,(S)ERCE,2006,56.21545028686523,7,7,"Qualification, language",4,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2006,"High-skilled household, language",BRA,(S)ERCE,2006,52.33331298828125,8,8,"Qualification, language",4,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Total, mathematic",BRA,(T)ERCE,2013,51.5364990234375,1,1,"Total, mathematic",1,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Low-skilled household, mathematics",BRA,(T)ERCE,2013,51.85163116455078,2,2,"Qualification, mathematic",2,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Medium-skilled household, mathematics",BRA,(T)ERCE,2013,48.59003829956055,3,3,"Qualification, mathematic",2,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"High-skilled household, mathematics",BRA,(T)ERCE,2013,58.62938690185547,4,4,"Qualification, mathematic",2,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Total, language",BRA,(T)ERCE,2013,50.14216232299805,5,5,"Total, language",3,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Low-skilled household, language",BRA,(T)ERCE,2013,49.76401519775391,6,6,"Qualification, language",4,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Medium-skilled household, language",BRA,(T)ERCE,2013,48.12686538696289,7,7,"Qualification, language",4,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"High-skilled household, language",BRA,(T)ERCE,2013,54.39802169799805,8,8,"Qualification, language",4,Brazil,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2006,"Total, mathematic",CHL,(S)ERCE,2006,38.77018737792969,1,1,"Total, mathematic",1,Chile,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2006,"Low-skilled household, mathematics",CHL,(S)ERCE,2006,32.81904983520508,2,2,"Qualification, mathematic",2,Chile,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2006,"Medium-skilled household, mathematics",CHL,(S)ERCE,2006,37.32248306274414,3,3,"Qualification, mathematic",2,Chile,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2006,"High-skilled household, mathematics",CHL,(S)ERCE,2006,40.79647827148438,4,4,"Qualification, mathematic",2,Chile,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2006,"Total, language",CHL,(S)ERCE,2006,44.94195938110352,5,5,"Total, language",3,Chile,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2006,"Low-skilled household, language",CHL,(S)ERCE,2006,51.05740356445313,6,6,"Qualification, language",4,Chile,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2006,"Medium-skilled household, language",CHL,(S)ERCE,2006,42.3703727722168,7,7,"Qualification, language",4,Chile,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2006,"High-skilled household, language",CHL,(S)ERCE,2006,45.60554885864258,8,8,"Qualification, language",4,Chile,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Total, mathematic",CHL,(T)ERCE,2013,42.71559524536133,1,1,"Total, mathematic",1,Chile,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Low-skilled household, mathematics",CHL,(T)ERCE,2013,56.87665557861328,2,2,"Qualification, mathematic",2,Chile,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Medium-skilled household, mathematics",CHL,(T)ERCE,2013,35.64797210693359,3,3,"Qualification, mathematic",2,Chile,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"High-skilled household, mathematics",CHL,(T)ERCE,2013,52.96367263793945,4,4,"Qualification, mathematic",2,Chile,Percentage of women among the top 10% test scores in 3rd grade,Percentage of students in the top 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
