id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2019,Total,ARG,ERCE 2019,2019,.6176882982254028,1,1,Total,1,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I ask the teacher for help when I don't understand what to do.',Sixth grades students responding yes to 'I ask the teacher for help when I don't understand what to do.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Women,ARG,ERCE 2019,2019,.6366246342658997,2,2,Gender,4,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I ask the teacher for help when I don't understand what to do.',Sixth grades students responding yes to 'I ask the teacher for help when I don't understand what to do.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Men,ARG,ERCE 2019,2019,.597480297088623,3,3,Gender,4,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I ask the teacher for help when I don't understand what to do.',Sixth grades students responding yes to 'I ask the teacher for help when I don't understand what to do.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Woman,ARG,ERCE 2019,2019,.6366246342658997,4,4,Woman,2,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I ask the teacher for help when I don't understand what to do.',Sixth grades students responding yes to 'I ask the teacher for help when I don't understand what to do.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Man,ARG,ERCE 2019,2019,.597480297088623,5,5,Man,3,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I ask the teacher for help when I don't understand what to do.',Sixth grades students responding yes to 'I ask the teacher for help when I don't understand what to do.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Total,BRA,ERCE 2019,2019,.5261821150779724,1,1,Total,1,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I ask the teacher for help when I don't understand what to do.',Sixth grades students responding yes to 'I ask the teacher for help when I don't understand what to do.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Women,BRA,ERCE 2019,2019,.5482830405235291,2,2,Gender,4,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I ask the teacher for help when I don't understand what to do.',Sixth grades students responding yes to 'I ask the teacher for help when I don't understand what to do.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Men,BRA,ERCE 2019,2019,.5053299069404602,3,3,Gender,4,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I ask the teacher for help when I don't understand what to do.',Sixth grades students responding yes to 'I ask the teacher for help when I don't understand what to do.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Woman,BRA,ERCE 2019,2019,.5482830405235291,4,4,Woman,2,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I ask the teacher for help when I don't understand what to do.',Sixth grades students responding yes to 'I ask the teacher for help when I don't understand what to do.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Man,BRA,ERCE 2019,2019,.5053299069404602,5,5,Man,3,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I ask the teacher for help when I don't understand what to do.',Sixth grades students responding yes to 'I ask the teacher for help when I don't understand what to do.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
