id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar_matem,valor_errorestandar_lectu,valor_errorestandar_ciencia,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2003,"Total, mathematic",ARG,,2003,,1,1,,,,"Total, mathematic",1,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Women, mathematic",ARG,,2003,,2,2,,,,"Gender, mathematic",4,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Men, mathematic",ARG,,2003,,3,3,,,,"Gender, mathematic",4,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Gap women - men, mathematic",ARG,,2003,,4,4,0,,,"Gap women - men, mathematic",5,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Women in low-skilled household, mathematic",ARG,,2003,,6,6,,,,"Qualification (women), mathematic",6,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Women in medium-skilled household, mathematic",ARG,,2003,,7,7,,,,"Qualification (women), mathematic",6,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Women in high-skilled household, mathematic",ARG,,2003,,8,8,,,,"Qualification (women), mathematic",6,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Men in low-skilled household, mathematic",ARG,,2003,,9,9,,,,"Qualification (men), mathematic",7,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Men in medium-skilled household, mathematic",ARG,,2003,,10,10,,,,"Qualification (men), mathematic",7,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Men in high-skilled household, mathematic",ARG,,2003,,11,11,,,,"Qualification (men), mathematic",7,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
