id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,pais2,indicador,detalle_indicador,disclaimer
ARG_ERCE06-132006,"Total, mathematic",ARG_ERCE06-13,(S)ERCE 2006,2006,513.0263061523438,1,1,"Total, mathematic",1,Argentina,Argentina (ERCE06-13),Average score in standardized tests for 6th grade students,Average score in standardized tests for students in 6th grade.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Women, mathematic",ARG_ERCE06-13,(S)ERCE 2006,2006,512.111572265625,2,2,"Gender, mathematic",4,Argentina,Argentina (ERCE06-13),Average score in standardized tests for 6th grade students,Average score in standardized tests for students in 6th grade.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Men, mathematic",ARG_ERCE06-13,(S)ERCE 2006,2006,517.9044189453125,3,3,"Gender, mathematic",4,Argentina,Argentina (ERCE06-13),Average score in standardized tests for 6th grade students,Average score in standardized tests for students in 6th grade.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Women in low-skilled household, mathematic",ARG_ERCE06-13,(S)ERCE 2006,2006,489.6619873046875,6,6,"Qualification (women), mathematic",6,Argentina,Argentina (ERCE06-13),Average score in standardized tests for 6th grade students,Average score in standardized tests for students in 6th grade.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Women in medium-skilled household, mathematic",ARG_ERCE06-13,(S)ERCE 2006,2006,529.5731811523438,7,7,"Qualification (women), mathematic",6,Argentina,Argentina (ERCE06-13),Average score in standardized tests for 6th grade students,Average score in standardized tests for students in 6th grade.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Women in high-skilled household, mathematic",ARG_ERCE06-13,(S)ERCE 2006,2006,566.941162109375,8,8,"Qualification (women), mathematic",6,Argentina,Argentina (ERCE06-13),Average score in standardized tests for 6th grade students,Average score in standardized tests for students in 6th grade.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Men in low-skilled household, mathematic",ARG_ERCE06-13,(S)ERCE 2006,2006,492.8790283203125,9,9,"Qualification (men), mathematic",7,Argentina,Argentina (ERCE06-13),Average score in standardized tests for 6th grade students,Average score in standardized tests for students in 6th grade.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Men in medium-skilled household, mathematic",ARG_ERCE06-13,(S)ERCE 2006,2006,541.8272705078125,10,10,"Qualification (men), mathematic",7,Argentina,Argentina (ERCE06-13),Average score in standardized tests for 6th grade students,Average score in standardized tests for students in 6th grade.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Men in high-skilled household, mathematic",ARG_ERCE06-13,(S)ERCE 2006,2006,565.857177734375,11,11,"Qualification (men), mathematic",7,Argentina,Argentina (ERCE06-13),Average score in standardized tests for 6th grade students,Average score in standardized tests for students in 6th grade.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Total, language",ARG_ERCE06-13,(S)ERCE 2006,2006,506.4546508789063,12,12,"Total, language",8,Argentina,Argentina (ERCE06-13),Average score in standardized tests for 6th grade students,Average score in standardized tests for students in 6th grade.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
