id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2019,Total,ARG,ERCE 2019,2019,.8098480701446533,1,1,Total,1,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Women,ARG,ERCE 2019,2019,.8355703949928284,2,2,Gender,4,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Men,ARG,ERCE 2019,2019,.7825313210487366,3,3,Gender,4,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Woman,ARG,ERCE 2019,2019,.8355703949928284,4,4,Woman,2,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Man,ARG,ERCE 2019,2019,.7825313210487366,5,5,Man,3,Argentina,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Total,BRA,ERCE 2019,2019,.73993319272995,1,1,Total,1,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Women,BRA,ERCE 2019,2019,.7710130214691162,2,2,Gender,4,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Men,BRA,ERCE 2019,2019,.7100784778594971,3,3,Gender,4,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Woman,BRA,ERCE 2019,2019,.7710130214691162,4,4,Woman,2,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BRA2019,Man,BRA,ERCE 2019,2019,.7100784778594971,5,5,Man,3,Brazil,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2019,Total,COL,ERCE 2019,2019,.8122114539146423,1,1,Total,1,Colombia,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2019,Women,COL,ERCE 2019,2019,.8328785300254822,2,2,Gender,4,Colombia,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2019,Men,COL,ERCE 2019,2019,.7920951247215271,3,3,Gender,4,Colombia,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2019,Woman,COL,ERCE 2019,2019,.8328785300254822,4,4,Woman,2,Colombia,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2019,Man,COL,ERCE 2019,2019,.7920951247215271,5,5,Man,3,Colombia,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2019,Total,CRI,ERCE 2019,2019,.9091864228248596,1,1,Total,1,Costa Rica,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2019,Women,CRI,ERCE 2019,2019,.9181704521179199,2,2,Gender,4,Costa Rica,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2019,Men,CRI,ERCE 2019,2019,.9000435471534729,3,3,Gender,4,Costa Rica,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2019,Woman,CRI,ERCE 2019,2019,.9181704521179199,4,4,Woman,2,Costa Rica,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2019,Man,CRI,ERCE 2019,2019,.9000435471534729,5,5,Man,3,Costa Rica,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2019,Total,DOM,ERCE 2019,2019,.8242594003677368,1,1,Total,1,Dominican Republic,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2019,Women,DOM,ERCE 2019,2019,.8463979959487915,2,2,Gender,4,Dominican Republic,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2019,Men,DOM,ERCE 2019,2019,.8017296195030212,3,3,Gender,4,Dominican Republic,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2019,Woman,DOM,ERCE 2019,2019,.8463979959487915,4,4,Woman,2,Dominican Republic,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2019,Man,DOM,ERCE 2019,2019,.8017296195030212,5,5,Man,3,Dominican Republic,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ECU2019,Total,ECU,ERCE 2019,2019,.8105303049087524,1,1,Total,1,Ecuador,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ECU2019,Women,ECU,ERCE 2019,2019,.8496999740600586,2,2,Gender,4,Ecuador,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ECU2019,Men,ECU,ERCE 2019,2019,.7720485329627991,3,3,Gender,4,Ecuador,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ECU2019,Woman,ECU,ERCE 2019,2019,.8496999740600586,4,4,Woman,2,Ecuador,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ECU2019,Man,ECU,ERCE 2019,2019,.7720485329627991,5,5,Man,3,Ecuador,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
SLV2019,Total,SLV,ERCE 2019,2019,.8190717101097107,1,1,Total,1,El Salvador,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
SLV2019,Women,SLV,ERCE 2019,2019,.8471671342849731,2,2,Gender,4,El Salvador,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
SLV2019,Men,SLV,ERCE 2019,2019,.7924417853355408,3,3,Gender,4,El Salvador,Percentage of sixth grade students responding always/almost always or several times to 'I follow class rules and regulations.',Sixth grades students responding yes to 'I follow class rules and regulations.',The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
