id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,94.19095611572266,1,1,,Total,1,Argentina,Argentina,Percentage of children aged 3-5 years above the theoretical age for the last grade of primary education who have completed primary school.,Primary completion rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women,ARG,,2000,96.08265686035156,2,2,,Gender,4,Argentina,Argentina,Percentage of children aged 3-5 years above the theoretical age for the last grade of primary education who have completed primary school.,Primary completion rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,92.43448638916016,3,3,,Gender,4,Argentina,Argentina,Percentage of children aged 3-5 years above the theoretical age for the last grade of primary education who have completed primary school.,Primary completion rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,3.648171186447144,4,4,1.3419386,Women - men gap,5,Argentina,Argentina,Percentage of children aged 3-5 years above the theoretical age for the last grade of primary education who have completed primary school.,Primary completion rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women in low-skilled household,ARG,,2000,94.45791625976563,6,6,,Qualification (women),11,Argentina,Argentina,Percentage of children aged 3-5 years above the theoretical age for the last grade of primary education who have completed primary school.,Primary completion rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women in medium-skilled household,ARG,,2000,97.77652740478516,7,7,,Qualification (women),11,Argentina,Argentina,Percentage of children aged 3-5 years above the theoretical age for the last grade of primary education who have completed primary school.,Primary completion rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women in high-skilled household,ARG,,2000,99.47834014892578,8,8,,Qualification (women),11,Argentina,Argentina,Percentage of children aged 3-5 years above the theoretical age for the last grade of primary education who have completed primary school.,Primary completion rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men in low-skilled household,ARG,,2000,89.76455688476563,9,9,,Qualification (men),12,Argentina,Argentina,Percentage of children aged 3-5 years above the theoretical age for the last grade of primary education who have completed primary school.,Primary completion rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men in medium-skilled household,ARG,,2000,97.00209045410156,10,10,,Qualification (men),12,Argentina,Argentina,Percentage of children aged 3-5 years above the theoretical age for the last grade of primary education who have completed primary school.,Primary completion rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men in high-skilled household,ARG,,2000,96.23506164550781,11,11,,Qualification (men),12,Argentina,Argentina,Percentage of children aged 3-5 years above the theoretical age for the last grade of primary education who have completed primary school.,Primary completion rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
