id_paisano,desagregacion,pais_cod,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres,ARG,2013,,26,26,Ratio mujeres/hombres,6,Argentina,Argentina,"Porcentaje de la población de 15 a 24 años que realiza actividades de cuidado de niños del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres,ARG,2021,,26,26,Ratio mujeres/hombres,6,Argentina,Argentina,"Porcentaje de la población de 15 a 24 años que realiza actividades de cuidado de niños del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres,CHL,2015,1.1225665807724,26,26,Ratio mujeres/hombres,6,Chile,Chile,"Porcentaje de la población de 15 a 24 años que realiza actividades de cuidado de niños del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres,COL,2012,2.291539907455444,26,26,Ratio mujeres/hombres,6,Colombia,Colombia,"Porcentaje de la población de 15 a 24 años que realiza actividades de cuidado de niños del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2016,Ratio mujeres/hombres,COL,2016,2.574080467224121,26,26,Ratio mujeres/hombres,6,Colombia,Colombia,"Porcentaje de la población de 15 a 24 años que realiza actividades de cuidado de niños del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2020,Ratio mujeres/hombres,COL,2020,2.717466115951538,26,26,Ratio mujeres/hombres,6,Colombia,Colombia,"Porcentaje de la población de 15 a 24 años que realiza actividades de cuidado de niños del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2004,Ratio mujeres/hombres,CRI,2004,,26,26,Ratio mujeres/hombres,6,Costa Rica,Costa Rica,"Porcentaje de la población de 15 a 24 años que realiza actividades de cuidado de niños del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2017,Ratio mujeres/hombres,CRI,2017,1.382012724876404,26,26,Ratio mujeres/hombres,6,Costa Rica,Costa Rica,"Porcentaje de la población de 15 a 24 años que realiza actividades de cuidado de niños del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ECU2012,Ratio mujeres/hombres,ECU,2012,2.376486778259277,26,26,Ratio mujeres/hombres,6,Ecuador,Ecuador,"Porcentaje de la población de 15 a 24 años que realiza actividades de cuidado de niños del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2017,Ratio mujeres/hombres,SLV,2017,1.629425644874573,26,26,Ratio mujeres/hombres,6,El Salvador,El Salvador,"Porcentaje de la población de 15 a 24 años que realiza actividades de cuidado de niños del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
GTM2011,Ratio mujeres/hombres,GTM,2011,3.902555704116821,26,26,Ratio mujeres/hombres,6,Guatemala,Guatemala,"Porcentaje de la población de 15 a 24 años que realiza actividades de cuidado de niños del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
