id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,32.58584213256836,1,1,,Total,1,Argentina,Argentina,Individuos que asisten al nivel terciario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización terciaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,38.69435501098633,2,2,,Género,4,Argentina,Argentina,Individuos que asisten al nivel terciario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización terciaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,25.86183166503906,3,3,,Género,4,Argentina,Argentina,Individuos que asisten al nivel terciario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización terciaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,12.83252334594727,4,4,1.8903683,Brecha mujeres - hombres,5,Argentina,Argentina,Individuos que asisten al nivel terciario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización terciaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujer,ARG,,2000,38.69435501098633,22,22,,Mujer,2,Argentina,Argentina,Individuos que asisten al nivel terciario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización terciaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombre,ARG,,2000,25.86183166503906,23,23,,Hombre,3,Argentina,Argentina,Individuos que asisten al nivel terciario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización terciaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Ratio mujeres/hombres,ARG,,2000,1.496195435523987,26,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Individuos que asisten al nivel terciario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización terciaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,34.41402053833008,1,1,,Total,1,Argentina,Argentina,Individuos que asisten al nivel terciario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización terciaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres,ARG,,2001,39.24587631225586,2,2,,Género,4,Argentina,Argentina,Individuos que asisten al nivel terciario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización terciaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombres,ARG,,2001,29.23152732849121,3,3,,Género,4,Argentina,Argentina,Individuos que asisten al nivel terciario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización terciaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
