id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,73.66155242919922,1,1,,Total,1,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,73.76464080810547,2,2,,Género,4,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,73.57833099365234,3,3,,Género,4,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,.1863062977790833,4,4,4.2191715,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres en hogares de baja calificación,ARG,,2000,69.32820892333984,6,6,,Calificación (mujeres),11,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres en hogares de media calificación,ARG,,2000,79.68964385986328,7,7,,Calificación (mujeres),11,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres en hogares de alta calificación,ARG,,2000,80.42223358154297,8,8,,Calificación (mujeres),11,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres en hogares de baja calificación,ARG,,2000,69.66024780273438,9,9,,Calificación (hombres),12,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres en hogares de media calificación,ARG,,2000,76.13910675048828,10,10,,Calificación (hombres),12,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres en hogares de alta calificación,ARG,,2000,88.49668884277344,11,11,,Calificación (hombres),12,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujer,ARG,,2000,73.76464080810547,22,22,,Mujer,2,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombre,ARG,,2000,73.57833099365234,23,23,,Hombre,3,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Ratio mujeres/hombres,ARG,,2000,1.002532124519348,26,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,75.54509735107422,1,1,,Total,1,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres,ARG,,2001,75.16497039794922,2,2,,Género,4,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombres,ARG,,2001,75.90318298339844,3,3,,Género,4,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Brecha mujeres - hombres,ARG,,2001,-.7382111549377441,4,4,4.1943402,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de niños de 5 años que asisten a un establecimiento educativo.,Tasa de escolarización pre-primaria (5 años),Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
