id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2019,Total,ARG,ERCE,2019,.7381817102432251,1,1,Total,1,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Espero mi turno para hablar en clases.',Alumnos de sexto grado que responden que si a 'Espero mi turno para hablar en clases.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres,ARG,ERCE,2019,.7814345955848694,2,2,Género,4,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Espero mi turno para hablar en clases.',Alumnos de sexto grado que responden que si a 'Espero mi turno para hablar en clases.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Hombres,ARG,ERCE,2019,.7115297913551331,3,3,Género,4,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Espero mi turno para hablar en clases.',Alumnos de sexto grado que responden que si a 'Espero mi turno para hablar en clases.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujer,ARG,ERCE,2019,.7814345955848694,4,4,Mujer,2,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Espero mi turno para hablar en clases.',Alumnos de sexto grado que responden que si a 'Espero mi turno para hablar en clases.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Hombre,ARG,ERCE,2019,.7115297913551331,5,5,Hombre,3,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Espero mi turno para hablar en clases.',Alumnos de sexto grado que responden que si a 'Espero mi turno para hablar en clases.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Total,BRA,ERCE,2019,.5758176445960999,1,1,Total,1,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Espero mi turno para hablar en clases.',Alumnos de sexto grado que responden que si a 'Espero mi turno para hablar en clases.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Mujeres,BRA,ERCE,2019,.6230053901672363,2,2,Género,4,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Espero mi turno para hablar en clases.',Alumnos de sexto grado que responden que si a 'Espero mi turno para hablar en clases.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Hombres,BRA,ERCE,2019,.5326674580574036,3,3,Género,4,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Espero mi turno para hablar en clases.',Alumnos de sexto grado que responden que si a 'Espero mi turno para hablar en clases.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Mujer,BRA,ERCE,2019,.6230053901672363,4,4,Mujer,2,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Espero mi turno para hablar en clases.',Alumnos de sexto grado que responden que si a 'Espero mi turno para hablar en clases.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Hombre,BRA,ERCE,2019,.5326674580574036,5,5,Hombre,3,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Espero mi turno para hablar en clases.',Alumnos de sexto grado que responden que si a 'Espero mi turno para hablar en clases.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2019,Total,COL,ERCE,2019,.7255154848098755,1,1,Total,1,Colombia,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Espero mi turno para hablar en clases.',Alumnos de sexto grado que responden que si a 'Espero mi turno para hablar en clases.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
