id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2019,Total,ARG,ERCE 2019,2019,.6385690569877625,1,1,Total,1,Argentina,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres,ARG,ERCE 2019,2019,.6641759872436523,2,2,Género,4,Argentina,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Hombres,ARG,ERCE 2019,2019,.6118254065513611,3,3,Género,4,Argentina,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujer,ARG,ERCE 2019,2019,.6641759872436523,4,4,Mujer,2,Argentina,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Hombre,ARG,ERCE 2019,2019,.6118254065513611,5,5,Hombre,3,Argentina,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Total,BRA,ERCE 2019,2019,.5375174283981323,1,1,Total,1,Brasil,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Mujeres,BRA,ERCE 2019,2019,.5604872107505798,2,2,Género,4,Brasil,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Hombres,BRA,ERCE 2019,2019,.5158296227455139,3,3,Género,4,Brasil,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Mujer,BRA,ERCE 2019,2019,.5604872107505798,4,4,Mujer,2,Brasil,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Hombre,BRA,ERCE 2019,2019,.5158296227455139,5,5,Hombre,3,Brasil,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
COL2019,Total,COL,ERCE 2019,2019,.6667079925537109,1,1,Total,1,Colombia,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
COL2019,Mujeres,COL,ERCE 2019,2019,.6882166862487793,2,2,Género,4,Colombia,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
COL2019,Hombres,COL,ERCE 2019,2019,.6458208560943604,3,3,Género,4,Colombia,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
COL2019,Mujer,COL,ERCE 2019,2019,.6882166862487793,4,4,Mujer,2,Colombia,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
COL2019,Hombre,COL,ERCE 2019,2019,.6458208560943604,5,5,Hombre,3,Colombia,Promedio de índice de autoregulación para alumnos de sexto grado. Ver diccionario de variables para más detalle.,Índice de autoregulación para alumnos de sexto grado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
