id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2003,"Total, matemática",ARG,,2003,,1,1,"Total, matemática",1,Argentina,Porcentaje de mujeres entre los alumnos de 15 años analfabetos funcionales ,Porcentaje de alumnos analfabetos funcionales a los 15 años que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,"Hogares baja calificación, matemática",ARG,,2003,,2,2,"Calificación, matemática",2,Argentina,Porcentaje de mujeres entre los alumnos de 15 años analfabetos funcionales ,Porcentaje de alumnos analfabetos funcionales a los 15 años que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,"Hogares media calificación, matemática",ARG,,2003,,3,3,"Calificación, matemática",2,Argentina,Porcentaje de mujeres entre los alumnos de 15 años analfabetos funcionales ,Porcentaje de alumnos analfabetos funcionales a los 15 años que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,"Hogares alta calificación, matemática",ARG,,2003,,4,4,"Calificación, matemática",2,Argentina,Porcentaje de mujeres entre los alumnos de 15 años analfabetos funcionales ,Porcentaje de alumnos analfabetos funcionales a los 15 años que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,"Total, lectura",ARG,,2003,,5,5,"Total, lectura",3,Argentina,Porcentaje de mujeres entre los alumnos de 15 años analfabetos funcionales ,Porcentaje de alumnos analfabetos funcionales a los 15 años que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,"Hogares baja calificación, lectura",ARG,,2003,,6,6,"Calificación, lectura",4,Argentina,Porcentaje de mujeres entre los alumnos de 15 años analfabetos funcionales ,Porcentaje de alumnos analfabetos funcionales a los 15 años que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,"Hogares media calificación, lectura",ARG,,2003,,7,7,"Calificación, lectura",4,Argentina,Porcentaje de mujeres entre los alumnos de 15 años analfabetos funcionales ,Porcentaje de alumnos analfabetos funcionales a los 15 años que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,"Hogares alta calificación, lectura",ARG,,2003,,8,8,"Calificación, lectura",4,Argentina,Porcentaje de mujeres entre los alumnos de 15 años analfabetos funcionales ,Porcentaje de alumnos analfabetos funcionales a los 15 años que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,"Total, ciencia",ARG,,2003,,9,9,"Total, ciencia",5,Argentina,Porcentaje de mujeres entre los alumnos de 15 años analfabetos funcionales ,Porcentaje de alumnos analfabetos funcionales a los 15 años que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,"Hogares baja calificación, ciencia",ARG,,2003,,10,10,"Calificación, ciencia",6,Argentina,Porcentaje de mujeres entre los alumnos de 15 años analfabetos funcionales ,Porcentaje de alumnos analfabetos funcionales a los 15 años que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
