id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,variable_ingles,comparacion_por,comparacion_por_orden,pais,pais2,indicador,detalle_indicador,disclaimer
ARG_ERCE06-132006,"Total, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,51.50490188598633,1,1,1,"Total, matemática",1,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más bajo de puntajes en sexto grado,Porcentaje de alumnos en el 10% más bajo de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares baja calificación, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,54.07578277587891,2,2,2,"Calificación, matemática",2,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más bajo de puntajes en sexto grado,Porcentaje de alumnos en el 10% más bajo de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares media calificación, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,59.29617309570313,3,3,3,"Calificación, matemática",2,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más bajo de puntajes en sexto grado,Porcentaje de alumnos en el 10% más bajo de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares alta calificación, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,43.41038131713867,4,4,4,"Calificación, matemática",2,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más bajo de puntajes en sexto grado,Porcentaje de alumnos en el 10% más bajo de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Total, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,46.00029754638672,5,5,5,"Total, lectura",3,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más bajo de puntajes en sexto grado,Porcentaje de alumnos en el 10% más bajo de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares baja calificación, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,47.22365188598633,6,6,6,"Calificación, lectura",4,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más bajo de puntajes en sexto grado,Porcentaje de alumnos en el 10% más bajo de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares media calificación, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,48.73392486572266,7,7,7,"Calificación, lectura",4,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más bajo de puntajes en sexto grado,Porcentaje de alumnos en el 10% más bajo de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares alta calificación, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,53.32335662841797,8,8,8,"Calificación, lectura",4,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más bajo de puntajes en sexto grado,Porcentaje de alumnos en el 10% más bajo de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Total, ciencia",ARG_ERCE06-13,(S)ERCE 2006,2006,49.34803771972656,9,9,9,"Total, ciencia",5,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más bajo de puntajes en sexto grado,Porcentaje de alumnos en el 10% más bajo de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares baja calificación, ciencia",ARG_ERCE06-13,(S)ERCE 2006,2006,51.740966796875,10,10,10,"Calificación, ciencia",6,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más bajo de puntajes en sexto grado,Porcentaje de alumnos en el 10% más bajo de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
