id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,variable_ingles,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2006,"Total, matemática",ARG,(S)ERCE,2006,44.82353973388672,1,1,1,"Total, matemática",1,Argentina,Porcentaje de mujeres en el 10% más alto de puntajes en sexto grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2006,"Hogares baja calificación, matemática",ARG,(S)ERCE,2006,40.89092636108398,2,2,2,"Calificación, matemática",2,Argentina,Porcentaje de mujeres en el 10% más alto de puntajes en sexto grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2006,"Hogares media calificación, matemática",ARG,(S)ERCE,2006,46.82585144042969,3,3,3,"Calificación, matemática",2,Argentina,Porcentaje de mujeres en el 10% más alto de puntajes en sexto grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2006,"Hogares alta calificación, matemática",ARG,(S)ERCE,2006,49.32025527954102,4,4,4,"Calificación, matemática",2,Argentina,Porcentaje de mujeres en el 10% más alto de puntajes en sexto grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2006,"Total, lectura",ARG,(S)ERCE,2006,53.27273178100586,5,5,5,"Total, lectura",3,Argentina,Porcentaje de mujeres en el 10% más alto de puntajes en sexto grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2006,"Hogares baja calificación, lectura",ARG,(S)ERCE,2006,52.45565032958984,6,6,6,"Calificación, lectura",4,Argentina,Porcentaje de mujeres en el 10% más alto de puntajes en sexto grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2006,"Hogares media calificación, lectura",ARG,(S)ERCE,2006,55.55169296264648,7,7,7,"Calificación, lectura",4,Argentina,Porcentaje de mujeres en el 10% más alto de puntajes en sexto grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2006,"Hogares alta calificación, lectura",ARG,(S)ERCE,2006,57.27730941772461,8,8,8,"Calificación, lectura",4,Argentina,Porcentaje de mujeres en el 10% más alto de puntajes en sexto grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2006,"Total, ciencia",ARG,(S)ERCE,2006,44.88443374633789,9,9,9,"Total, ciencia",5,Argentina,Porcentaje de mujeres en el 10% más alto de puntajes en sexto grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2006,"Hogares baja calificación, ciencia",ARG,(S)ERCE,2006,47.76107788085938,10,10,10,"Calificación, ciencia",6,Argentina,Porcentaje de mujeres en el 10% más alto de puntajes en sexto grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de sexto grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
