id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar_matem,valor_errorestandar_lectu,valor_errorestandar_ciencia,comparacion_por,comparacion_por_orden,pais,pais2,indicador,detalle_indicador,disclaimer
ARG_ERCE06-132006,"Total, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,513.0263061523438,1,1,,,,"Total, matemática",1,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Mujeres, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,512.111572265625,2,2,,,,"Género, matemática",4,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hombres, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,517.9044189453125,3,3,,,,"Género, matemática",4,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Mujeres en hogares baja calificación, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,489.6619873046875,6,6,,,,"Calificación (mujeres), matemática",6,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Mujeres en hogares media calificación, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,529.5731811523438,7,7,,,,"Calificación (mujeres), matemática",6,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Mujeres en hogares alta calificación, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,566.941162109375,8,8,,,,"Calificación (mujeres), matemática",6,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hombres en hogares baja calificación, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,492.8790283203125,9,9,,,,"Calificación (hombres), matemática",7,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hombres en hogares media calificación, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,541.8272705078125,10,10,,,,"Calificación (hombres), matemática",7,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hombres en hogares alta calificación, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,565.857177734375,11,11,,,,"Calificación (hombres), matemática",7,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Total, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,506.4546508789063,12,12,,,,"Total, lectura",8,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Mujeres, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,512.3011474609375,13,13,,,,"Género, lectura",11,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hombres, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,501.2559814453125,14,14,,,,"Género, lectura",11,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Mujeres en hogares baja calificación, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,484.5940551757813,17,17,,,,"Calificación (mujeres), lectura",13,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Mujeres en hogares media calificación, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,532.8335571289063,18,18,,,,"Calificación (mujeres), lectura",13,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Mujeres en hogares alta calificación, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,570.9058227539063,19,19,,,,"Calificación (mujeres), lectura",13,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hombres en hogares baja calificación, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,475.8621826171875,20,20,,,,"Calificación (hombres), lectura",14,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hombres en hogares media calificación, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,523.6455078125,21,21,,,,"Calificación (hombres), lectura",14,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hombres en hogares alta calificación, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,558.36328125,22,22,,,,"Calificación (hombres), lectura",14,Argentina,Argentina (ERCE06-13),Puntaje promedio en pruebas estandarizadas para alumnos de sexto grado,Puntajes promedio en pruebas estandarizadas para alumnos de sexto grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
