id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2019,Total,ARG,ERCE,2019,.6529431939125061,1,1,Total,1,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Antes de entregar una tarea o examen lo reviso bien.',Alumnos de sexto grado que responden que si a 'Antes de entregar una tarea o examen lo reviso bien.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres,ARG,ERCE,2019,.6990076303482056,2,2,Género,4,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Antes de entregar una tarea o examen lo reviso bien.',Alumnos de sexto grado que responden que si a 'Antes de entregar una tarea o examen lo reviso bien.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Hombres,ARG,ERCE,2019,.6295952796936035,3,3,Género,4,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Antes de entregar una tarea o examen lo reviso bien.',Alumnos de sexto grado que responden que si a 'Antes de entregar una tarea o examen lo reviso bien.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujer,ARG,ERCE,2019,.6990076303482056,4,4,Mujer,2,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Antes de entregar una tarea o examen lo reviso bien.',Alumnos de sexto grado que responden que si a 'Antes de entregar una tarea o examen lo reviso bien.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Hombre,ARG,ERCE,2019,.6295952796936035,5,5,Hombre,3,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Antes de entregar una tarea o examen lo reviso bien.',Alumnos de sexto grado que responden que si a 'Antes de entregar una tarea o examen lo reviso bien.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Total,BRA,ERCE,2019,.4170794486999512,1,1,Total,1,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Antes de entregar una tarea o examen lo reviso bien.',Alumnos de sexto grado que responden que si a 'Antes de entregar una tarea o examen lo reviso bien.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Mujeres,BRA,ERCE,2019,.4540675282478333,2,2,Género,4,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Antes de entregar una tarea o examen lo reviso bien.',Alumnos de sexto grado que responden que si a 'Antes de entregar una tarea o examen lo reviso bien.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Hombres,BRA,ERCE,2019,.3897822797298431,3,3,Género,4,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Antes de entregar una tarea o examen lo reviso bien.',Alumnos de sexto grado que responden que si a 'Antes de entregar una tarea o examen lo reviso bien.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Mujer,BRA,ERCE,2019,.4540675282478333,4,4,Mujer,2,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Antes de entregar una tarea o examen lo reviso bien.',Alumnos de sexto grado que responden que si a 'Antes de entregar una tarea o examen lo reviso bien.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Hombre,BRA,ERCE,2019,.3897822797298431,5,5,Hombre,3,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Antes de entregar una tarea o examen lo reviso bien.',Alumnos de sexto grado que responden que si a 'Antes de entregar una tarea o examen lo reviso bien.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
