id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2019,Total,ARG,ERCE,2019,.8098480701446533,1,1,Total,1,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres,ARG,ERCE,2019,.843590259552002,2,2,Género,4,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Hombres,ARG,ERCE,2019,.7963441610336304,3,3,Género,4,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujer,ARG,ERCE,2019,.843590259552002,4,4,Mujer,2,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Hombre,ARG,ERCE,2019,.7963441610336304,5,5,Hombre,3,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Total,BRA,ERCE,2019,.73993319272995,1,1,Total,1,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Mujeres,BRA,ERCE,2019,.7709031105041504,2,2,Género,4,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Hombres,BRA,ERCE,2019,.7227514982223511,3,3,Género,4,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Mujer,BRA,ERCE,2019,.7709031105041504,4,4,Mujer,2,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2019,Hombre,BRA,ERCE,2019,.7227514982223511,5,5,Hombre,3,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2019,Total,COL,ERCE,2019,.8122114539146423,1,1,Total,1,Colombia,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2019,Mujeres,COL,ERCE,2019,.8348312377929688,2,2,Género,4,Colombia,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2019,Hombres,COL,ERCE,2019,.7924519777297974,3,3,Género,4,Colombia,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2019,Mujer,COL,ERCE,2019,.8348312377929688,4,4,Mujer,2,Colombia,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2019,Hombre,COL,ERCE,2019,.7924519777297974,5,5,Hombre,3,Colombia,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2019,Total,CRI,ERCE,2019,.9091864228248596,1,1,Total,1,Costa Rica,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2019,Mujeres,CRI,ERCE,2019,.9198834300041199,2,2,Género,4,Costa Rica,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2019,Hombres,CRI,ERCE,2019,.9024816155433655,3,3,Género,4,Costa Rica,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2019,Mujer,CRI,ERCE,2019,.9198834300041199,4,4,Mujer,2,Costa Rica,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2019,Hombre,CRI,ERCE,2019,.9024816155433655,5,5,Hombre,3,Costa Rica,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ECU2019,Total,ECU,ERCE,2019,.8105303049087524,1,1,Total,1,Ecuador,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ECU2019,Mujeres,ECU,ERCE,2019,.8510904312133789,2,2,Género,4,Ecuador,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ECU2019,Hombres,ECU,ERCE,2019,.7725571393966675,3,3,Género,4,Ecuador,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ECU2019,Mujer,ECU,ERCE,2019,.8510904312133789,4,4,Mujer,2,Ecuador,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ECU2019,Hombre,ECU,ERCE,2019,.7725571393966675,5,5,Hombre,3,Ecuador,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2019,Total,SLV,ERCE,2019,.8190717101097107,1,1,Total,1,El Salvador,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2019,Mujeres,SLV,ERCE,2019,.8510193228721619,2,2,Género,4,El Salvador,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2019,Hombres,SLV,ERCE,2019,.7937289476394653,3,3,Género,4,El Salvador,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2019,Mujer,SLV,ERCE,2019,.8510193228721619,4,4,Mujer,2,El Salvador,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2019,Hombre,SLV,ERCE,2019,.7937289476394653,5,5,Hombre,3,El Salvador,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
GTM2019,Total,GTM,ERCE,2019,.7339338660240173,1,1,Total,1,Guatemala,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
GTM2019,Mujeres,GTM,ERCE,2019,.7596460580825806,2,2,Género,4,Guatemala,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
GTM2019,Hombres,GTM,ERCE,2019,.7187463641166687,3,3,Género,4,Guatemala,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que si a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
