id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,56.56502914428711,1,1,,Total,1,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,64.80632781982422,2,2,,Género,4,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,47.41295623779297,3,3,,Género,4,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,17.39337158203125,4,4,2.7055559,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujer,ARG,,2000,64.80632781982422,22,22,,Mujer,2,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombre,ARG,,2000,47.41295623779297,23,23,,Hombre,3,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Ratio mujeres/hombres,ARG,,2000,1.366848468780518,26,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,57.67277908325195,1,1,,Total,1,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres,ARG,,2001,62.97501754760742,2,2,,Género,4,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombres,ARG,,2001,51.87778472900391,3,3,,Género,4,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Brecha mujeres - hombres,ARG,,2001,11.09723091125488,4,4,2.7492778,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujer,ARG,,2001,62.97501754760742,22,22,,Mujer,2,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombre,ARG,,2001,51.87778472900391,23,23,,Hombre,3,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Ratio mujeres/hombres,ARG,,2001,1.213911056518555,26,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Total,ARG,,2002,60.76786804199219,1,1,,Total,1,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Mujeres,ARG,,2002,66.78186798095703,2,2,,Género,4,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Hombres,ARG,,2002,53.74526214599609,3,3,,Género,4,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Brecha mujeres - hombres,ARG,,2002,13.03660488128662,4,4,2.8448997,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Mujer,ARG,,2002,66.78186798095703,22,22,,Mujer,2,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Hombre,ARG,,2002,53.74526214599609,23,23,,Hombre,3,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Ratio mujeres/hombres,ARG,,2002,1.242562890052795,26,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,Total,ARG,,2003,64.06195068359375,1,1,,Total,1,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,Mujeres,ARG,,2003,68.36080932617188,2,2,,Género,4,Argentina,Argentina,Porcentaje de jóvenes entre 3 y 5 años mayores a la edad teórica de finalización del secundario que completaron ese nivel.,Tasa de finalización del nivel secundario,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
